docs/d3d10-renderer.md	docs/directx10-renderer.md	2
docs/d3d11-renderer.md	docs/directx11-renderer.md	9
docs/d3d12-renderer.md	docs/directx12-renderer.md	10
docs/d3d9-renderer.md	docs/directx9-renderer.md	15
docs/dx1-renderer.md	docs/directx1-renderer.md	7
docs/dx2-renderer.md	docs/directx2-renderer.md	13
docs/dx3-renderer.md	docs/directx3-renderer.md	11
docs/dx5-renderer.md	docs/directx5-renderer.md	8
docs/dx6-renderer.md	docs/directx6-renderer.md	6
docs/dx7-renderer.md	docs/directx7-renderer.md	3
docs/dx8-renderer.md	docs/directx8-renderer.md	3
examples/d3d10_	examples/directx10_	5
examples/d3d11_	examples/directx11_	8
examples/d3d12_	examples/directx12_	23
examples/d3d9_	examples/directx9_	21
modules/renderers/d3d10	modules/renderers/directx10	3
modules/renderers/d3d11	modules/renderers/directx11	1
modules/renderers/d3d12	modules/renderers/directx12	1
modules/renderers/d3d9	modules/renderers/directx9	7
modules/renderers/dx1	modules/renderers/directx1	3
modules/renderers/dx2	modules/renderers/directx2	3
modules/renderers/dx3	modules/renderers/directx3	3
modules/renderers/dx5	modules/renderers/directx5	3
modules/renderers/dx6	modules/renderers/directx6	3
modules/renderers/dx7	modules/renderers/directx7	3
modules/renderers/dx8	modules/renderers/directx8	3
run-wine-d3d10.sh	run-wine-directx10.sh	3
run-wine-dx1.sh	run-wine-directx1.sh	6
run-wine-dx2.sh	run-wine-directx2.sh	5
run-wine-dx3.sh	run-wine-directx3.sh	4
run-wine-dx5.sh	run-wine-directx5.sh	4
run-wine-dx6.sh	run-wine-directx6.sh	4
run-wine-dx7.sh	run-wine-directx7.sh	4
run-wine-dx8.sh	run-wine-directx8.sh	6
