cmake_file	test_name
cmake/Tests/BgfxTests.cmake	Bgfx_EnvironmentMapEffect_Smoke
cmake/Tests/BgfxTests.cmake	Bgfx_EnvironmentMapEffect_Specular
cmake/Tests/BgfxTests.cmake	Bgfx_EnvironmentMapEffect_WorldTransform
cmake/Tests/BgfxTests.cmake	Bgfx_FrontFaceWinding
cmake/Tests/BgfxTests.cmake	Bgfx_GFX138_RenderTargetCube_Finalize
cmake/Tests/BgfxTests.cmake	Bgfx_GFX153_SourceRectangleOrientation
cmake/Tests/BgfxTests.cmake	Bgfx_GFX179_ViewCapacity
cmake/Tests/BgfxTests.cmake	Bgfx_GFX185_MsaaCapability
cmake/Tests/BgfxTests.cmake	Bgfx_GFX185_MsaaCapability_Vulkan
cmake/Tests/BgfxTests.cmake	Bgfx_GFX195_RenderTargetCube_Preserve
cmake/Tests/BgfxTests.cmake	Bgfx_GFX196_NoopReset
cmake/Tests/BgfxTests.cmake	Bgfx_GraphicsDevice_ClearDepth
cmake/Tests/BgfxTests.cmake	Bgfx_GraphicsDevice_ClearOptions
cmake/Tests/BgfxTests.cmake	Bgfx_GraphicsDevice_ClearOptions_Vulkan
cmake/Tests/BgfxTests.cmake	Bgfx_GraphicsDevice_ClearStencil
cmake/Tests/BgfxTests.cmake	Bgfx_GraphicsDevice_DefaultStateOcclusion
cmake/Tests/BgfxTests.cmake	Bgfx_GraphicsDevice_OrderedClear
cmake/Tests/BgfxTests.cmake	Bgfx_GraphicsDevice_ReferenceStencil
cmake/Tests/BgfxTests.cmake	Bgfx_InvalidMipLevel
cmake/Tests/BgfxTests.cmake	Bgfx_MRT_MixedFormats
cmake/Tests/BgfxTests.cmake	Bgfx_ModelJsonReader_Quad
cmake/Tests/BgfxTests.cmake	Bgfx_Model_HierarchyChildMesh
cmake/Tests/BgfxTests.cmake	Bgfx_Model_TwoMeshesEffects
cmake/Tests/BgfxTests.cmake	Bgfx_MsaaDepthContract
cmake/Tests/BgfxTests.cmake	Bgfx_MsaaFirstReadback
cmake/Tests/BgfxTests.cmake	Bgfx_MsaaMipReadback
cmake/Tests/BgfxTests.cmake	Bgfx_MultiViewport
cmake/Tests/BgfxTests.cmake	Bgfx_NpotTexture
cmake/Tests/BgfxTests.cmake	Bgfx_OcclusionQuery
cmake/Tests/BgfxTests.cmake	Bgfx_OcclusionQuery_DisposeActive
cmake/Tests/BgfxTests.cmake	Bgfx_OcclusionQuery_PixelCount
cmake/Tests/BgfxTests.cmake	Bgfx_PbrEffect
cmake/Tests/BgfxTests.cmake	Bgfx_PointSamplingContract
cmake/Tests/BgfxTests.cmake	Bgfx_PresentLifecycle
cmake/Tests/BgfxTests.cmake	Bgfx_RasterizerState_CullMode
cmake/Tests/BgfxTests.cmake	Bgfx_RasterizerState_CullMode_Camera
cmake/Tests/BgfxTests.cmake	Bgfx_RasterizerState_CullMode_IndexedBasicEffect
cmake/Tests/BgfxTests.cmake	Bgfx_RasterizerState_CullMode_Vulkan
cmake/Tests/BgfxTests.cmake	Bgfx_RasterizerState_DepthBias
cmake/Tests/BgfxTests.cmake	Bgfx_RasterizerState_FillMode_WireFrame
cmake/Tests/BgfxTests.cmake	Bgfx_RenderTarget2D_DepthBuffer
cmake/Tests/BgfxTests.cmake	Bgfx_RenderTarget2D_MipChain
cmake/Tests/BgfxTests.cmake	Bgfx_RenderTarget2D_MsaaResolve
cmake/Tests/BgfxTests.cmake	Bgfx_RenderTarget2D_SampleAfterUnbind
cmake/Tests/BgfxTests.cmake	Bgfx_RenderTargetCube_DepthFormat
cmake/Tests/BgfxTests.cmake	Bgfx_RenderTargetCube_GetDataContract
cmake/Tests/BgfxTests.cmake	Bgfx_RenderTargetCube_MipChain
cmake/Tests/BgfxTests.cmake	Bgfx_RenderTargetCube_MsaaFace
cmake/Tests/BgfxTests.cmake	Bgfx_RenderTargetCube_MsaaResolve
cmake/Tests/BgfxTests.cmake	Bgfx_RenderTargetCube_PluralBinding
