# SKIA-108: the complete SpriteBatch-only subset of the real-XNA oracle corpus.
# scene                               rgb_tol  alpha_tol  max_raw_diff  allowed_raw_diff_rect
sprite_basic_quad                     0        0          0             -
sprite_flipped_quad                   1        0          1591          88,88,80,80
sprite_mirror_quad                    0        0          0             -
sprite_multitexture_quad              0        0          0             -
sprite_rotated_quad                   1        0          1591          48,48,80,80
sprite_sortmode_backtofront_quad      0        0          0             -
sprite_sortmode_deferred_quad         0        0          0             -
sprite_sortmode_fronttoback_quad      0        0          0             -
sprite_wrap_quad                      0        0          0             -
