cmake_file	test_name
modules/renderers/bgfx/examples/CMakeLists.txt	Bgfx_DepthStencilState_StencilTwoSided
modules/renderers/bgfx/examples/CMakeLists.txt	Bgfx_DepthStencilState_WriteEnable
modules/renderers/bgfx/examples/CMakeLists.txt	Bgfx_DescriptorCapacityContract
modules/renderers/bgfx/examples/CMakeLists.txt	Bgfx_DualTextureEffect_Alpha
modules/renderers/bgfx/examples/CMakeLists.txt	Bgfx_DualTextureEffect_Blend
modules/renderers/bgfx/examples/CMakeLists.txt	Bgfx_DualTextureEffect_Combined
modules/renderers/bgfx/examples/CMakeLists.txt	Bgfx_DualTextureEffect_Doubling
modules/renderers/bgfx/examples/CMakeLists.txt	Bgfx_DualTextureEffect_Fog
modules/renderers/bgfx/examples/CMakeLists.txt	Bgfx_DualTextureEffect_NullTexture0
modules/renderers/bgfx/examples/CMakeLists.txt	Bgfx_DualTextureEffect_NullTexture2
modules/renderers/bgfx/examples/CMakeLists.txt	Bgfx_DualTextureEffect_VertexColor
modules/renderers/bgfx/examples/CMakeLists.txt	Bgfx_DualTextureSlotSamplerContract
modules/renderers/bgfx/examples/CMakeLists.txt	Bgfx_EnvMapCubeSamplerContract
modules/renderers/bgfx/examples/CMakeLists.txt	Bgfx_EnvironmentMapEffect_AlphaScaledLerp
modules/renderers/bgfx/examples/CMakeLists.txt	Bgfx_EnvironmentMapEffect_AmountOne
modules/renderers/bgfx/examples/CMakeLists.txt	Bgfx_EnvironmentMapEffect_AmountZero
modules/renderers/bgfx/examples/CMakeLists.txt	Bgfx_EnvironmentMapEffect_Combined
modules/renderers/bgfx/examples/CMakeLists.txt	Bgfx_EnvironmentMapEffect_EyePosition
modules/renderers/bgfx/examples/CMakeLists.txt	Bgfx_EnvironmentMapEffect_Fog
modules/renderers/bgfx/examples/CMakeLists.txt	Bgfx_EnvironmentMapEffect_Fresnel
modules/renderers/bgfx/examples/CMakeLists.txt	Bgfx_EnvironmentMapEffect_MultiLight
modules/renderers/bgfx/examples/CMakeLists.txt	Bgfx_EnvironmentMapEffect_Smoke
modules/renderers/bgfx/examples/CMakeLists.txt	Bgfx_EnvironmentMapEffect_Specular
modules/renderers/bgfx/examples/CMakeLists.txt	Bgfx_EnvironmentMapEffect_WorldTransform
modules/renderers/bgfx/examples/CMakeLists.txt	Bgfx_FrontFaceWinding
modules/renderers/bgfx/examples/CMakeLists.txt	Bgfx_GFX138_RenderTargetCube_Finalize
